Restaurant,Code,Store ID,Order ID,Purchased,Price,Visit Type,Offset
Glasgow - Kirkintilloch,MG6W-6LHJ-RGN4,1080,1913,2023-06-18 18:16:49,12.93,3,125
Newton Abbot,M6BW-6QHJ-9C9F,771,1717,2023-06-19 18:06:47,17.04,3,125
Stroud,7MKW-RVHJ-Q93R,1291,2094,2023-06-22 13:14:36,15.70,3,125
Bangor-Bloomfield Shopping Centre,CGDW-R9HJ-TQ7Z,454,186,2023-06-24 19:37:24,12.98,3,125
Castlemilk,7MXW-4JHY-M3ND,1290,1973,2023-06-26 12:06:47,8.19,3,125
Banbury - Beaumont Rd,MNYW-66HY-MG7H,799,1905,2023-06-26 13:42:12,6.11,3,125
Manchester - Baguley,MQZW-RLHY-RB9Y,1062,1988,2023-06-29 16:01:35,6.45,3,125
Staines - Ashford,7RHW-69HY-FKBC,1459,111,2023-06-30 10:56:26,10.28,3,125
MATLOCK,7FHW-RBFC-7XFV,1509,1796,2023-07-07 19:25:55,8.88,3,125
Oldfields Road Dt,M99W-RJFC-NPXX,911,1798,2023-07-09 15:15:51,24.93,3,125
STOURBRIDGE,7FMW-4MFC-473M,1501,1751,2023-07-09 18:09:35,13.22,3,125
Camberley 2,MHZW-NLFC-VQTK,862,1938,2023-07-15 05:32:54,5.07,3,125
Elk Mill Retail Park,MCFW-6PFC-PPM7,635,1720,2023-07-15 16:51:29,33.24,3,125
Worksop,MRGW-NNFC-PJ9M,843,1931,2023-07-15 18:16:05,,3,125
Glengormley - Belfast,MWBW-RQFM-CBLT,721,1792,2023-07-17 21:33:00,4.08,3,125
DALKEITH,793W-6KFM-7NV4,1539,1916,2023-07-18 12:14:52,17.50,3,125
MATLOCK,7FHW-R7FM-W7VD,1509,1777,2023-07-18 20:59:04,8.88,3,125
Ashford Orbital Park,M4QW-N3FM-DTBR,817,1739,2023-07-19 15:46:03,11.75,3,125
Greenhithe-The Railway Tavern,MZWW-RHF7-CF4N,928,1784,2023-07-28 13:17:30,3.98,3,125
Abingdon,CYMW-NGF7-W7RP,601,1943,2023-07-29 17:13:05,2.19,3,125
Hamilton Palace,M3CW-RDF7-QFHM,975,1779,2023-08-04 22:24:38,20.26,3,125
Stirling - Drip Road,MKVW-FWNM-KGNK,1044,28,2020-08-03 17:11:05,14.31,3,225
Sutton Coldfield,CRGW-ZYHN-KHBP,218,99,2022-12-19 15:01:03,8.72,3,225
WELSHPOOL - BUTTINGTON CROSS,73XW-F4H4-J9PT,1615,32,2023-01-02 13:10:37,,3,225
Derby Markeaton Park,CQ6W-HXFM-6RLB,430,15,2023-07-19 20:13:33,1.99,3,225
Brompton Rd,CQZW-KZMT-BKBF,437,87,2017-07-04 09:21:17,0.99,3,325
Balham,CM6W-3V7N-3K3D,30,44,2017-10-07 00:04:33,,3,325
Poole - Wessex Gate Retail Park,MLGW-LR7K-JGXV,968,8,2018-01-27 10:50:40,1.69,3,325
TONBRIDGE - CANNON LANE,7HYW-LN4L-RFRR,1499,6,2021-09-05 13:58:11,4.89,3,325
SKELTON,7FQW-XVHD-DPVH,1517,69,2022-11-22 21:44:32,2.28,3,325
Halesowen - Bromsgrove Road,CY6W-KFHX-JK4F,605,85,2023-03-30 10:22:34,6.78,3,325
Watford Gap Northbound Msa,7DPW-KQFV-DXGY,1370,92,2024-01-30 20:18:47,2.19,3,325
Forest Gate,C3JW-Q3W4-WCZV,373,14,2018-07-11 01:37:36,3.87,3,425
Manchester Piccadilly Gardens,7H6W-Q4DW-PMGQ,1480,7,2019-03-03 07:58:32,1.99,3,425
Folkestone Sainsburys,MNCW-VV69-XJ6B,775,69,2020-02-22 14:35:36,,3,425
South Harrow - Shaftesbury,MX6W-QBHT-XCVD,1005,21,2023-06-10 15:29:01,7.46,3,425
Hamilton Palace,M3CW-TH7Q-N9BX,975,34,2018-01-30 19:21:07,7.14,3,525
Burton On Trent,MGVW-YLDN-QN44,1094,88,2019-04-03 15:52:11,,3,525
Warren Street,CMVW-BMD9-F6K9,44,1,2019-05-24 20:46:35,2.18,3,525
Witney,MNVW-YYDX-NLL7,794,99,2019-07-05 16:03:47,,3,525
Preston Deepdale,MFGW-YV4T-RY6V,893,94,2021-12-12 11:30:36,19.95,3,525
Waverley Market,MJFW-YNRK-P66H,1210,81,2022-07-11 12:30:01,6.33,3,525
Moor Farm,MLZW-Y3HD-YTP9,962,89,2022-12-01 14:55:38,,3,525
Burton,CDJW-JFHX-JJKW,123,60,2023-03-30 13:26:10,10.15,3,525
Preston Deepdale,MFGW-TWHP-FRT3,893,28,2023-05-17 21:57:37,11.66,3,525
Cardiff Bay,M4DW-YRHY-XWK3,804,83,2023-07-02 09:31:04,,3,525
Worksop,MRGW-B6F7-DQ4K,843,5,2023-07-30 09:52:35,13.55,3,525
Swindon Green Bridge,CJKD-NZND-BPVJ,591,62,2020-09-07 11:34:25,2.18,4,100
Kingston-Upon-Hull,CRFD-NZRZ-JZGP,210,62,2022-05-30 13:13:26,1.79,4,100
Stoke,CQFD-NTHX-M6VQ,435,72,2023-03-21 13:39:27,6.67,4,100
Brynmawr,7XJD-6ZHY-FLHX,1648,37,2023-06-30 09:29:53,5.00,4,100
Aylesbury 2,C9BD-LZRJ-CZMC,296,37,2022-09-16 21:56:56,11.47,4,300
St Pauls,7FP6-9LH3-YZBV,1520,13,2023-03-19 22:56:13,11.58,5,275
Oxford,CN66-KMDT-49D4,155,26,2019-09-20 00:24:21,6.88,5,375
Milton Keynes,CMHN-DG7K-MD7V,34,68,2018-01-17 15:37:48,2.88,6,50
